"Project_Name","Project_Primary_Branch","Last_Scan_Date","Branch_Scanned","Scan_Engines"
"ANZ-PythonTest","","19/08/2025 5:22:31 PM",".unknown","sast"
"passwordtest","","8/08/2025 10:27:14 AM",".unknown","sast"
"Empty","",,,
"CfnGoat","master","13/11/2023 4:34:51 PM","master","kics"
"sca-cxflow-test","","1/09/2023 12:54:47 PM",".unknown","sca"
"Welcome123","","14/09/2023 12:39:31 AM","master","sast,sca"
"CxFlow","","13/04/2023 4:17:41 PM","master","sast,sca,kics"
"GitHub_Actions_Test","","13/03/2023 11:50:36 AM","main","sast,kics,sca,apisec"
"CloudGoat","","18/05/2022 11:25:03 AM","master","kics"
"Demo_GitHub_WebGoat","","17/05/2022 12:49:07 PM","main","sast,kics,sca"
"Demo_CodeCommit_WebGoat","","17/05/2022 12:22:27 PM","main","sast,kics,sca"
"Demo_CodeCommit_SQLInjection_XSS","","17/05/2022 9:45:13 AM","refs/heads/master","sast,kics,sca"
"Demo_GitHub_SQLInjection_XSS","","17/05/2022 9:32:09 AM","main","sast,kics,sca"
